architecture,dataset,seed,path,sha256,file_size_mb
CNN_KAN_PSD,NFFA,456,extracted_dataset/downloaded_models/NFFA/CNN_KAN_PSD/CNN_KAN_PSD_seed456.pth,0a8d3ade1f9069954ff2b6a654d8fb45a23bbcf47adf2d9fbba8b646c38ce54a,0.2848024368286133
CNN_KAN_PSD,NFFA,789,extracted_dataset/downloaded_models/NFFA/CNN_KAN_PSD/CNN_KAN_PSD_seed789.pth,e279349c4e0704dd1fea292b3dbc1faa9615bb95acee7083bfbcc67a3f272ff4,0.2848024368286133
CNN_KAN_PSD,NFFA,1024,extracted_dataset/downloaded_models/NFFA/CNN_KAN_PSD/CNN_KAN_PSD_seed1024.pth,970e6ed79813986c8d57e6458be52962617dc17850726f5d97d60a61e9e1415d,0.28482532501220703
CNN_MLP,Biofilms,42,extracted_dataset/downloaded_models/Biofilms/CNN_MLP/CNN_MLP_seed42.pth,0d96435ddd3486dc48e5dfc268f2f911c08079aad925c902d23dd205ccf9c12c,0.1053628921508789
CNN_MLP,Biofilms,123,extracted_dataset/downloaded_models/Biofilms/CNN_MLP/CNN_MLP_seed123.pth,b9fbd34d4f93be3dd8b9f4c66f3ccef086e251a7a63148f9c2ca06dfdeeca477,0.10538482666015625
CNN_MLP,Biofilms,456,extracted_dataset/downloaded_models/Biofilms/CNN_MLP/CNN_MLP_seed456.pth,1114278b8fbad523b089f5845b94f9df0d92c7756b1a450fcfafe6d35a99308c,0.10538482666015625
CNN_MLP,Biofilms,789,extracted_dataset/downloaded_models/Biofilms/CNN_MLP/CNN_MLP_seed789.pth,00e749ed6e90aa3c8ab639475ce8706b98a68814ecf0a03d6412b5f8fbb26576,0.10538482666015625
CNN_MLP,Biofilms,1024,extracted_dataset/downloaded_models/Biofilms/CNN_MLP/CNN_MLP_seed1024.pth,434b8a1baa696894fd6b7da9b300ae434a12d0d6f104135785639495ff8f9d92,0.1054067611694336
CNN_MLP,EPFL,42,extracted_dataset/downloaded_models/EPFL/CNN_MLP/CNN_MLP_seed42.pth,eb4163796e25e6aefd0a701fff0b67c7ba8dbca3a4733e8ebd4d773157b62440,0.1053628921508789
CNN_MLP,EPFL,123,extracted_dataset/downloaded_models/EPFL/CNN_MLP/CNN_MLP_seed123.pth,c8bf101b4592a984156ca2b4544411a143237f4a86849542687837075fa55abe,0.10538482666015625
