architecture,source_dataset,n_seeds,mae_mean,mae_sd,mae_ci95_lo,mae_ci95_hi,rmse_mean,rmse_sd,rmse_ci95_lo,rmse_ci95_hi,r2_mean,r2_sd,r2_ci95_lo,r2_ci95_hi
CNN_RF,EPFL,5,0.024277327723794102,0.004008848333510716,0.01929968507381469,0.029254970373773514,0.031098418820943902,0.004849579322306814,0.025076870770002122,0.03711996687188568,0.9970871575996713,0.0008822607323215459,0.9959916862113187,0.9981826289880238
CNN_RF,NFFA,5,0.11729785071677415,0.009944595500990312,0.10495000450649536,0.12964569692705294,0.16810591852716733,0.019551609788980295,0.1438293885452622,0.19238244850907246,0.9976131756720298,0.0005396218660001721,0.9969431466283738,0.9982832047156858
CalibNet,Biofilms,5,1.0592595219612122,0.1140001797000353,0.9177096030389188,1.2008094408835057,1.6112115992339837,0.10959493938009286,1.4751315086203984,1.747291689847569,0.816571581363678,0.02475316372228934,0.7858364691280679,0.8473066935992881
CalibNet,EPFL,5,0.026152332872152278,0.0028364786055879855,0.022630379505918462,0.029674286238386093,0.03300461345226972,0.0036545937779346185,0.02846683593014882,0.03754239097439061,0.9967501759529114,0.0007455487995472564,0.9958244548496095,0.9976758970562133
CalibNet,NFFA,5,0.14165835678577418,0.0836350963516177,0.03781166865966751,0.24550504491188085,0.22347587312047573,0.16038487251462455,0.02433175106256602,0.42261999517838544,0.9941075921058655,0.008201621526886629,0.9839239339290374,1.0042912502826937
ConvNextTinyRegression,Biofilms,5,0.6796006917953491,0.1348653233772218,0.5121432751517443,0.8470581084389539,1.1156478593589383,0.2854872716048121,0.7611685922618234,1.4701271264560531,0.9077883124351501,0.04748676529493302,0.8488257055772799,0.9667509192930204
ConvNextTinyRegression,EPFL,5,0.4951398432254791,2.6127956258174203e-05,0.4951074010828467,0.49517228536811153,0.5840547636278536,0.00015754423711960685,0.5838591466204976,0.5842503806352095,-0.00781233310699458,0.0005436371380722119,-0.008487347769425375,-0.007137318444563786
ConvNextTinyRegression,NFFA,5,2.8271275997161864,0.0250580922528757,2.796013868702122,2.8582413307302508,3.719348852630412,0.03164238899059906,3.6800596374036263,3.758638067857198,-0.15594968795776362,0.019627282353814387,-0.18032017783907497,-0.13157919807645227
ResNeXt50Regression,Biofilms,5,0.5954549491405488,0.12699048661185117,0.4377754338002361,0.7531344644808614,0.9836529533792863,0.26108547815011984,0.659472514706467,1.3078333920521055,0.9280463814735412,0.041176602912754684,0.8769188760684415,0.9791738868786409
ResNeXt50Regression,EPFL,5,0.1195727271959185,0.09294565511043074,0.004165453455832954,0.23498000093600402,0.1425361044933799,0.1067443860440049,0.009995443332174697,0.27507676565458505,0.9130453705787659,0.08152380992073847,0.8118201908037781,1.0142705503537537
ResNeXt50Regression,NFFA,5,0.2976689040660858,0.024234702971243957,0.2675775458795304,0.3277602622526412,0.66539569148769,0.12684597114597673,0.5078956157985371,0.8228957671768428,0.9619297385215759,0.013925442804475822,0.9446390175322127,0.9792204595109392
ResNet18Regression,Biofilms,5,0.6161462962627411,0.086646474853166,0.508560487866297,0.7237321046591851,0.97609785502167,0.14093456753029554,0.8011044764168849,1.1510912336264552,0.9318090200424194,0.018387734216083283,0.9089776324577693,0.9546404076270695
ResNet18Regression,EPFL,5,0.01870858334004876,0.0030013110167910616,0.014981963503086967,0.022435203177010553,0.02342742375224386,0.0037814640310489716,0.018732116004387872,0.02812273150009985,0.9983446955680847,0.0005534897096031027,0.9976574473222942,0.9990319438138752
ResNet18Regression,NFFA,5,0.3253469169139862,0.021680807531211793,0.29842663875049547,0.35226719507747695,0.6606134669427947,0.09758649373854242,0.5394438309567096,0.7817831029288798,0.9628985524177551,0.01102356137554754,0.9492109931257482,0.9765861117097621
TOPIQ_NR_SNR,Biofilms,5,1.041874853542873,0.19498116467036036,0.7997737610438469,1.2839759460418991,1.4692020826858392,0.30006963305116785,1.0966164223719899,1.8417877429996885,0.8429722835379169,0.0628527179177742,0.76493032651016,0.9210142405656737
TOPIQ_NR_SNR,EPFL,5,0.05072676492968633,0.018692515639174966,0.02751694122466195,0.07393658863471071,0.06403849134299215,0.02279342048114258,0.03573672173563709,0.09234026095034721,0.9866561756044563,0.009192281626432822,0.9752424504475647,0.9980699007613478
TOPIQ_NR_SNR,NFFA,5,0.5646150456067811,0.27084922996821276,0.2283113078140393,0.9009187833995229,0.8113573708957196,0.3613112886000386,0.36273015169644157,1.2599845900949975,0.9362683683572672,0.05338576874404143,0.8699811812913592,1.0025555554231753
ViTRegression,Biofilms,5,2.8087162017822265,0.46180763140100173,2.2353062917758484,3.3821261117886046,3.5277419454325143,0.43271104801389754,2.9904602154886373,4.065023675376391,0.1133614659309387,0.1983658606739934,-0.13294228174066275,0.35966521360254017
ViTRegression,EPFL,5,0.482506138086319,0.005814611238973674,0.4752863446473344,0.4897259315253036,0.5648428194473981,0.010657153421842874,0.5516102157201618,0.5780754231746345,0.05713094472885129,0.03540976394907883,0.013163915648386558,0.10109797380931601
ViTRegression,NFFA,5,2.784593963623047,0.041170786757452456,2.733473679928594,2.8357142473174997,3.6504491193519315,0.06473178017454506,3.570073998369559,3.730824240334304,-0.11373481750488275,0.039535829199284486,-0.16282503326076744,-0.06464460174899805
proposed,Biofilms,5,0.3135331630706787,0.062388299847769134,0.2360678572405624,0.390998468900795,0.7688217867594774,0.1829849937858878,0.541615907764001,0.9960276657549538,0.9565032601356507,0.021447618223145358,0.9298725247407521,0.9831339955305493
proposed,EPFL,5,0.01132286433130498,0.0007579966189703839,0.010381687218769278,0.012264041443840683,0.014263710302813,0.0010200449855633736,0.01299715716769068,0.015530263437935319,0.9993964433670044,8.454330042805967e-05,0.9992914689945736,0.9995014177394352
proposed,NFFA,5,0.049031676352024024,0.007343167724176249,0.039913929356142505,0.05814942334790554,0.12960070254669492,0.018375877701207036,0.1067840367697108,0.15241736832367905,0.9985739827156067,0.0004116923160510674,0.998062799188429,0.9990851662427844
